COUNTRY ISO2 CODE,SWIFT CODE,CODE TYPE,NAME,ADDRESS,TOWN NAME,COUNTRY NAME,TIME ZONE
MC,BCGMMCM1XXX,BIC11,BNP PARIBAS WEALTH MANAGEMENT MONACO,"27 BOULEVARD PRINCESSE CHARLOTTE  MONACO, MONACO, 98000",MONACO,MONACO,Europe/Monaco
CL,BCHICLR10R2,BIC11,BANCO DE CHILE,  ,VINA DEL MAR,CHILE,Pacific/Easter
CL,BCHICLR10R3,BIC11,BANCO DE CHILE,"21 DE MAYO 330  ARICA, PROVINCIA DE ARICA, 1000000",ARICA,CHILE,Pacific/Easter
CL,BCHICLR10R4,BIC11,BANCO DE CHILE,  ,IQUIQUE,CHILE,Pacific/Easter
CL,BCHICLR10R5,BIC11,BANCO DE CHILE,  ,ANTOFAGASTA,CHILE,Pacific/Easter
CL,BCHICLR10R6,BIC11,BANCO DE CHILE,  ,LA SERENA,CHILE,Pacific/Easter
CL,BCHICLR10R7,BIC11,BANCO DE CHILE,  ,TEMUCO,CHILE,Pacific/Easter
CL,BCHICLR10R8,BIC11,BANCO DE CHILE,  ,PUERTO MONTT,CHILE,Pacific/Easter
CL,BCHICLR10RA,BIC11,BANCO DE CHILE,  ,PUNTA ARENAS,CHILE,Pacific/Easter
CL,BCHICLR10RC,BIC11,BANCO DE CHILE,  ,CONCEPCION,CHILE,Pacific/Easter
CL,BCHICLR10RV,BIC11,BANCO DE CHILE,  ,VALPARAISO,CHILE,Pacific/Easter
CL,BCHICLR10RY,BIC11,BANCO DE CHILE,  ,COYHAIQUE,CHILE,Pacific/Easter
CL,BCHICLRMEXP,BIC11,BANCO DE CHILE,  ,SANTIAGO,CHILE,Pacific/Easter
CL,BCHICLRMIMP,BIC11,BANCO DE CHILE,  ,SANTIAGO,CHILE,Pacific/Easter
CL,BCHICLRMIOB,BIC11,BANCO DE CHILE,  ,SANTIAGO,CHILE,Pacific/Easter
CL,BCHICLRMXXX,BIC11,BANCO DE CHILE,  ,SANTIAGO,CHILE,Pacific/Easter
CL,BCOSCLR1XXX,BIC11,BANCHILE CORREDORES DE BOLSA S.A.,"AGUSTINAS 975, FLOOR 2 CASA MATRIZ BANCO DE CHILE - SANTIAGO PROVINCIA DE SANTIAGO, 8320000",SANTIAGO,CHILE,Pacific/Easter
BG,BCRCBGS1XXX,BIC11,BCRA - CREDIT RATING AGENCY,"EVLOGI GEORGIEV 95 FLOOR 1 SOFIA, SOFIA, 1142",SOFIA,BULGARIA,Europe/Sofia
CL,BECHCLRMXXX,BIC11,BANCO DEL ESTADO DE CHILE,  ,SANTIAGO,CHILE,Pacific/Easter
PL,BEDMPLP1XXX,BIC11,DOM MAKLERSKI BDM S.A.,"STOJALOWSKIEGO 7  BIELSKO BIALA, SLASKIE, 43-300",BIELSKO BIALA,POLAND,Europe/Warsaw
PL,BELDPLP1XXX,BIC11,BANK SPOLDZIELCZY W BELSKU DUZYM,"UL.NOCZNICKIEGO 3  BELSK DUZY, MAZOWIECKIE, 05-622",BELSK DUZY,POLAND,Europe/Warsaw
MC,BERLMCMCXXX,BIC11,EDMOND DE ROTHSCHILD-MONACO,"LES TERRASSES, CARLO 2 AVENUE DE MONTE MONACO, MONACO, 98000",MONACO,MONACO,Europe/Monaco
BG,BGUSBGSFXXX,BIC11,BULGARIAN-AMERICAN CREDIT BANK,"SLAVYANSKA STR 2  SOFIA, SOFIA, 1000",SOFIA,BULGARIA,Europe/Sofia
UY,BHUMUYM1XXX,BIC11,BANCO HIPOTECARIO DEL URUGUAY,"FERNANDEZ CRESPO 1508  MONTEVIDEO, MONTEVIDEO, 11200",MONTEVIDEO,URUGUAY,America/Montevideo
CL,BICECLRMXXX,BIC11,BANCO BICE,  ,SANTIAGO,CHILE,Pacific/Easter
CL,BICHCLRMXXX,BIC11,BANCO INTERNACIONAL,  ,SANTIAGO,CHILE,Pacific/Easter
PL,BIEZPLP1XXX,BIC11,BANK SPOLDZIELCZY W BIEZUNIU,"ZAMOJSKIEGO 27  BIEZUN, MAZOWIECKIE, 09-320",BIEZUN,POLAND,Europe/Warsaw
PL,BIGBPLPWCUS,BIC11,BANK MILLENNIUM S.A.,"HARMONY CENTER UL. STANISLAWA ZARYNA 2A WARSZAWA, MAZOWIECKIE, 02-593",WARSZAWA,POLAND,Europe/Warsaw
PL,BIGBPLPWXXX,BIC11,BANK MILLENNIUM S.A.,"HARMONY CENTER UL. STANISLAWA ZARYNA 2A WARSZAWA, MAZOWIECKIE, 02-593",WARSZAWA,POLAND,Europe/Warsaw
PL,BISPPLP1XXX,BIC11,BANK INICJATYW SPOLECZNO-EKONOMICZNYCH S.A.,"DUBOIS STREET 5 A  WARSZAWA, MAZOWIECKIE, 00-184",WARSZAWA,POLAND,Europe/Warsaw
MC,BJSBMCMXLCO,BIC11,BANQUE J. SAFRA SARASIN (MONACO) SA,"  MONACO, MONACO, 98000",MONACO,MONACO,Europe/Monaco
MC,BJSBMCMXXXX,BIC11,BANQUE J. SAFRA SARASIN (MONACO) SA,"LE BELLE EPOQUE 15BIS/17 AVENUE D'OSTENDE MONACO, MONACO, 98000",MONACO,MONACO,Europe/Monaco
CL,BKSACLRM055,BIC11,SCOTIABANK CHILE,  ,SANTIAGO,CHILE,Pacific/Easter
CL,BKSACLRM061,BIC11,SCOTIABANK CHILE,  ,VALPARAISO,CHILE,Pacific/Easter
CL,BKSACLRM064,BIC11,SCOTIABANK CHILE,"21 DE MAYO 187  ARICA, PROVINCIA DE ARICA, 1000000",ARICA,CHILE,Pacific/Easter
CL,BKSACLRM068,BIC11,SCOTIABANK CHILE,  ,CONCEPCION,CHILE,Pacific/Easter
CL,BKSACLRMXXX,BIC11,SCOTIABANK CHILE,"AVENIDA COSTANERA SUR 2710, FLOOR 10 EDIFICIO PARQUE TITANIUM SANTIAGO, PROVINCIA DE SANTIAGO",SANTIAGO,CHILE,Pacific/Easter
CL,BLICCLRMXXX,BIC11,HSBC BANK (CHILE),"AVENIDA ISIDORA GOYENECHEA 2800 FLOOR 23 LAS CONDES - SANTIAGO PROVINCIA DE SANTIAGO, 8320000",SANTIAGO,CHILE,Pacific/Easter
UY,BLICUYMMXXX,BIC11,HSBC BANK (URUGUAY) S.A.,"RINCON 391 FLOOR 3 MONTEVIDEO, MONTEVIDEO, 11000",MONTEVIDEO,URUGUAY,America/Montevideo
LV,BLPBLV21XXX,BIC11,AS BALTIJAS PRIVATBANKA,"SIA MONO KATLAKALNA ST. 1 RIGA, RIGA, LV-1017",RIGA,LATVIA,Europe/Riga
PL,BMDNPLP1XXX,BIC11,DNB BANK POLSKA SPOLKA AKCYJNA,"ZEROMSKIEGO 75  RADOM, MAZOWIECKIE, 26-600",RADOM,POLAND,Europe/Warsaw
BG,BNBGBGSDXXX,BIC11,BULGARIAN NATIONAL BANK - BGN,"ALEXANDER BATTENBERG SQUARE 1  SOFIA, SOFIA, 1000",SOFIA,BULGARIA,Europe/Sofia
BG,BNBGBGSFXXX,BIC11,BULGARIAN NATIONAL BANK,"ALEXANDER BATTENBERG SQUARE 1  SOFIA, SOFIA, 1000",SOFIA,BULGARIA,Europe/Sofia
MT,BNIFMTMTXXX,BIC11,BNF BANK PLC (FORMERLY BANIF BANK MALTA),"FLOOR 2 203 RUE D'ARGENS GZIRA, GZIRA, GZR 1368",GZIRA,MALTA,Europe/Malta
BG,BNPABGSXXXX,BIC11,BNP PARIBAS S.A.-SOFIA BRANCH,"MLADOST 4 BUSINESS PARK SOFIA BUILDING 14, FLOOR 1, RESIDENTIAL SOFIA, SOFIA, 1766",SOFIA,BULGARIA,Europe/Sofia
MC,BNPAMCM1XXX,BIC11,BNP PARIBAS,"  MONACO, MONACO, 98000",MONACO,MONACO,Europe/Monaco
PL,BNPAPLPXXXX,BIC11,BNP PARIBAS S.A. BRANCH IN POLAND,"UL. WRONIA 31  WARSZAWA, MAZOWIECKIE, 00-846",WARSZAWA,POLAND,Europe/Warsaw
CL,BOFACLR1XXX,BIC11,"BANK OF AMERICA, S.A. SANTIAGO",  ,SANTIAGO,CHILE,Pacific/Easter
BG,BPBIBGSFSEC,BIC11,EUROBANK BULGARIA AD,"  SOFIA, SOFIA",SOFIA,BULGARIA,Europe/Sofia
BG,BPBIBGSFXXX,BIC11,EUROBANK BULGARIA AD,"OKOLOVRASTEN PAT STR 260  SOFIA, SOFIA, 1766",SOFIA,BULGARIA,Europe/Sofia
PL,BPHKPLP1BMK,BIC11,BANK BPH SA,"  KRAKOW, MALOPOLSKIE",KRAKOW,POLAND,Europe/Warsaw
PL,BPHKPLPKCUS,BIC11,BANK BPH SA,"UL. CYPRIANA KAMILA NORWIDA 1  GDANSK, POMORSKIE, 80-280",GDANSK,POLAND,Europe/Warsaw
PL,BPHKPLPKXXX,BIC11,BANK BPH SA,"UL. CYPRIANA KAMILA NORWIDA 1  GDANSK, POMORSKIE, 80-280",GDANSK,POLAND,Europe/Warsaw
PL,BPKOPLPWBIA,BIC11,PKO BANK POLSKI S.A.,"TYSIACLECIA PANSTWA POLSKIEGO 6  BIALYSTOK, PODLASKIE, 15-111",BIALYSTOK,POLAND,Europe/Warsaw
PL,BPKOPLPWCSD,BIC11,PKO BANK POLSKI S.A.,"  WARSZAWA, MAZOWIECKIE",WARSZAWA,POLAND,Europe/Warsaw
PL,BPKOPLPWGDG,BIC11,PKO BANK POLSKI S.A.,"SWIETOJANSKA 17  GDYNIA, POMORSKIE, 71-368",GDYNIA,POLAND,Europe/Warsaw
PL,BPKOPLPWGOA,BIC11,PKO BANK POLSKI S.A.,"KOSYNIEROW GDYNSKICH 79  - GORZOW WIELKOPOLSKI, LUBUSKIE, 66-400 ",GORZOW WIELKOPOLSKI,POLAND,Europe/Warsaw
PL,BPKOPLPWKAB,BIC11,PKO BANK POLSKI S.A.,"DAMROTA 23  KATOWICE, SLASKIE, 40-022",KATOWICE,POLAND,Europe/Warsaw
PL,BPKOPLPWKRD,BIC11,PKO BANK POLSKI S.A.,"OSIEDLE KOSCIUSZKOWSKIE 1  KRAKOW, MALOPOLSKIE, 31-858",KRAKOW,POLAND,Europe/Warsaw
PL,BPKOPLPWLDA,BIC11,PKO BANK POLSKI S.A.,"PIOTRKOWSKA STREET 173  LODZ, LODZKIE, 90-959",LODZ,POLAND,Europe/Warsaw
PL,BPKOPLPWLUA,BIC11,PKO BANK POLSKI S.A.,"WATYKANSKA 7  LUBLIN, LUBELSKIE, 20-538",LUBLIN,POLAND,Europe/Warsaw
PL,BPKOPLPWOLS,BIC11,PKO BANK POLSKI S.A.,"KOSCIUSZKI STREET 89/91 OLSZTYN, WARMINSKO-MAZURSKIE 10-584",OLSZTYN,POLAND,Europe/Warsaw
PL,BPKOPLPWPOA,BIC11,PKO BANK POLSKI S.A.,"GORDA WILDA 109  POZNAN, WIELKOPOLSKIE, 60-959",POZNAN,POLAND,Europe/Warsaw
PL,BPKOPLPWTDH,BIC11,PKO BANK POLSKI S.A.,"PULAWSKA STREET 16  WARSZAWA, MAZOWIECKIE, 02-515",WARSZAWA,POLAND,Europe/Warsaw
PL,BPKOPLPWTOB,BIC11,PKO BANK POLSKI S.A.,"PLAC TEATRALNY 4  - BYDGOSZCZ KUJAWSKO-POMORSKIE, 85-950 ",BYDGOSZCZ,POLAND,Europe/Warsaw
PL,BPKOPLPWWAA,BIC11,PKO BANK POLSKI S.A.,"SIENKIEWICZA 12/14  WARSZAWA, MAZOWIECKIE, 00-944",WARSZAWA,POLAND,Europe/Warsaw
PL,BPKOPLPWWRD,BIC11,PKO BANK POLSKI S.A.,"WITA STWOSZA 12  WROCLAW, DOLNOSLASKIE, 50-950",WROCLAW,POLAND,Europe/Warsaw
PL,BPKOPLPWXXX,BIC11,PKO BANK POLSKI S.A.,"UL. PULAWSKA 15  WARSZAWA, MAZOWIECKIE, 02-515",WARSZAWA,POLAND,Europe/Warsaw
MC,BPPBMCMCXXX,BIC11,BNP PARIBAS WEALTH MANAGEMENT MONACO,"15-17 AVENUE D'OSTENDE  MONACO, MONACO, 98000",MONACO,MONACO,Europe/Monaco
UY,BPSOUYM1XXX,BIC11,BANCO DE PREVISION SOCIAL,"FERNANDEZ CRESPO 1621  MONTEVIDEO, MONTEVIDEO, 11200",MONTEVIDEO,URUGUAY,America/Montevideo
PL,BREXPLPWBIA,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"UL. SWIETOJANSKA 15  BIALYSTOK, PODLASKIE, 15-277",BIALYSTOK,POLAND,Europe/Warsaw
PL,BREXPLPWBIB,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"PLAC WOLNOSCI 7  BIELSKO BIALA, SLASKIE, 43-300",BIELSKO BIALA,POLAND,Europe/Warsaw
PL,BREXPLPWBYD,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"GRODZKA 19-21  - BYDGOSZCZ KUJAWSKO-POMORSKIE, 85-109 ",BYDGOSZCZ,POLAND,Europe/Warsaw
PL,BREXPLPWCUS,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"CYBERNETYKI 7A  WARSZAWA, MAZOWIECKIE, 02-677",WARSZAWA,POLAND,Europe/Warsaw
PL,BREXPLPWCZE,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"JASNOGORSKA 79  CZESTOCHOWA, SLASKIE, 42-217",CZESTOCHOWA,POLAND,Europe/Warsaw
PL,BREXPLPWGDA,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"JANA Z KOLNA 11  GDANSK, POMORSKIE, 80-864",GDANSK,POLAND,Europe/Warsaw
PL,BREXPLPWGDY,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"SLASKA 47  GDYNIA, POMORSKIE, 81-310",GDYNIA,POLAND,Europe/Warsaw
PL,BREXPLPWGOR,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"PRZEMYSLOWA 2  - GORZOW WIELKOPOLSKI, LUBUSKIE, 66-400 ",GORZOW WIELKOPOLSKI,POLAND,Europe/Warsaw
PL,BREXPLPWKAL,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"FRYDERYKA CHOPINA 26/28  KALISZ, WIELKOPOLSKIE, 62-800",KALISZ,POLAND,Europe/Warsaw
PL,BREXPLPWKAT,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"POWSTANCOW 43  KATOWICE, SLASKIE, 40-024",KATOWICE,POLAND,Europe/Warsaw
PL,BREXPLPWKIE,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"IX WIEKOW KIELC 4  KIELCE, SWIETOKRZYSKIE, 25-516",KIELCE,POLAND,Europe/Warsaw
PL,BREXPLPWKOS,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"OKRZEI 3  - KOSZALIN ZACHODNIOPOMORSKIE, 75-203 ",KOSZALIN,POLAND,Europe/Warsaw
PL,BREXPLPWKRA,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"AUGUSTIANSKA 15  KRAKOW, MALOPOLSKIE, 31-064",KRAKOW,POLAND,Europe/Warsaw
PL,BREXPLPWLOD,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"JANA KILINSKIEGO 74  LODZ, LODZKIE, 90-119",LODZ,POLAND,Europe/Warsaw
PL,BREXPLPWLUB,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"SPOKOJNA 2  LUBLIN, LUBELSKIE, 20-074",LUBLIN,POLAND,Europe/Warsaw
PL,BREXPLPWMBK,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"SKRYTKA POCZTOWA 2108  LODZ, LODZKIE, 90-959",LODZ,POLAND,Europe/Warsaw
PL,BREXPLPWMUL,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"SKRYTKA POCZTOWA 2108  LODZ, LODZKIE, 90-959",LODZ,POLAND,Europe/Warsaw
PL,BREXPLPWNWS,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"PRAZMOWSKIEGO 11  NOWY SACZ, MALOPOLSKIE, 33-300",NOWY SACZ,POLAND,Europe/Warsaw
PL,BREXPLPWOLS,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"PILSUDSKIEGO 44A  - OLSZTYN WARMINSKO-MAZURSKIE, 10-450 ",OLSZTYN,POLAND,Europe/Warsaw
PL,BREXPLPWOPO,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"KSIAZAT OPOLSKICH 29  OPOLE, OPOLSKIE, 45-005",OPOLE,POLAND,Europe/Warsaw
PL,BREXPLPWPOZ,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"ROOSEVELTA 22  POZNAN, WIELKOPOLSKIE, 60-829",POZNAN,POLAND,Europe/Warsaw
PL,BREXPLPWRCO,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"POWSTANCOW 43  KATOWICE, SLASKIE, 40-024",KATOWICE,POLAND,Europe/Warsaw
PL,BREXPLPWRYB,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"RUDZKA 3  RYBNIK, RYBNIK, 44-200",RYBNIK,POLAND,Europe/Warsaw
PL,BREXPLPWRZE,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"SOKOLA 6  RZESZOW, PODKARPACKIE, 35-010",RZESZOW,POLAND,Europe/Warsaw
PL,BREXPLPWSZC,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"ZBOZOWA 4  - SZCZECIN ZACHODNIO-POMORSKIE, 70-653 ",SZCZECIN,POLAND,Europe/Warsaw
PL,BREXPLPWTOR,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"BYDGOSKA 1  TORUN, KUJAWSKO-POMORSKIE, 87-100",TORUN,POLAND,Europe/Warsaw
PL,BREXPLPWWA1,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"UL. SENATORSKA 18  WARSZAWA, MAZOWIECKIE, 00-950",WARSZAWA,POLAND,Europe/Warsaw
PL,BREXPLPWWA2,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"UL. DOMANIEWSKA 44  WARSZAWA, MAZOWIECKIE, 02-672",WARSZAWA,POLAND,Europe/Warsaw
PL,BREXPLPWWA3,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"OSTROBRAMSKA 207  WARSZAWA, MAZOWIECKIE, 04-077",WARSZAWA,POLAND,Europe/Warsaw
PL,BREXPLPWWA4,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"AL.JEROZOLIMSKIE 174  WARSZAWA, MAZOWIECKIE, 02-486",WARSZAWA,POLAND,Europe/Warsaw
PL,BREXPLPWWAL,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"SIENKIEWICZA 2  WALBRZYCH, DOLNOSLASKIE, 58-300",WALBRZYCH,POLAND,Europe/Warsaw
PL,BREXPLPWWRO,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"PL. JANA PAWLA II 9  WROCLAW, DOLNOSLASKIE, 50-136",WROCLAW,POLAND,Europe/Warsaw
PL,BREXPLPWXXX,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"UL. PROSTA 18  WARSZAWA, MAZOWIECKIE, 00-850",WARSZAWA,POLAND,Europe/Warsaw
PL,BREXPLPWZIE,BIC11,MBANK S.A. (FORMERLY BRE BANK S.A.),"PLAC JANA MATEJKI 19  ZIELONA GORA, WIELKOPOLSKIE, 65-056",ZIELONA GORA,POLAND,Europe/Warsaw
UY,BROUUYMMXXX,BIC11,BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY,"CERRITO, ZABALA STREET 351  MONTEVIDEO, MONTEVIDEO, 11000",MONTEVIDEO,URUGUAY,America/Montevideo
PL,BSBAPLP1XXX,BIC11,BANK SPOLDZIELCZY W BIALYMSTOKU,"ZAMENHOFA 4  BIALYSTOK, PODLASKIE, 15-435",BIALYSTOK,POLAND,Europe/Warsaw
BG,BSBGBGSFIOP,BIC11,BORICA AD,"  SOFIA, SOFIA",SOFIA,BULGARIA,Europe/Sofia
BG,BSBGBGSFXXX,BIC11,BORICA AD,"TZAR BORIS III BLVD 41  SOFIA, SOFIA, 1612",SOFIA,BULGARIA,Europe/Sofia
PL,BSBIPLP1XXX,BIC11,BANK SPOLDZIELCZY W BIALOBRZEGACH,"SZKOLNA 6  BIALOBRZEGI, MAZOWIECKIE, 26-800",BIALOBRZEGI,POLAND,Europe/Warsaw
CL,BSCHCLR10R2,BIC11,BANCO SANTANDER CHILE,  ,ANTOFAGASTA,CHILE,Pacific/Easter
CL,BSCHCLR10R3,BIC11,BANCO SANTANDER CHILE,"21 DE MAYO 300  ARICA, PROVINCIA DE ARICA, 1000000",ARICA,CHILE,Pacific/Easter
CL,BSCHCLR10R4,BIC11,BANCO SANTANDER CHILE,  ,CHILLAN,CHILE,Pacific/Easter
CL,BSCHCLR10R5,BIC11,BANCO SANTANDER CHILE,  ,CONCEPCION,CHILE,Pacific/Easter
CL,BSCHCLR10R6,BIC11,BANCO SANTANDER CHILE,  ,COYHAIQUE,CHILE,Pacific/Easter
CL,BSCHCLR10R7,BIC11,BANCO SANTANDER CHILE,  ,CURICO,CHILE,Pacific/Easter
CL,BSCHCLR10RA,BIC11,BANCO SANTANDER CHILE,  ,IQUIQUE,CHILE,Pacific/Easter
CL,BSCHCLR10RB,BIC11,BANCO SANTANDER CHILE,  ,LA SERENA,CHILE,Pacific/Easter
CL,BSCHCLR10RD,BIC11,BANCO SANTANDER CHILE,  ,PUERTO MONTT,CHILE,Pacific/Easter
CL,BSCHCLR10RE,BIC11,BANCO SANTANDER CHILE,  ,PUNTA ARENAS,CHILE,Pacific/Easter
CL,BSCHCLR10RF,BIC11,BANCO SANTANDER CHILE,  ,RANCAGUA,CHILE,Pacific/Easter
CL,BSCHCLR10RG,BIC11,BANCO SANTANDER CHILE,"SUR 4 ORIENTE 1, 1098  TALCA, PROVINCIA DE TALCA, 3460000",TALCA,CHILE,Pacific/Easter
CL,BSCHCLR10RH,BIC11,BANCO SANTANDER CHILE,  ,TEMUCO,CHILE,Pacific/Easter
CL,BSCHCLR10RJ,BIC11,BANCO SANTANDER CHILE,  ,VALDIVIA,CHILE,Pacific/Easter
CL,BSCHCLR10RK,BIC11,BANCO SANTANDER CHILE,  ,VALPARAISO,CHILE,Pacific/Easter
CL,BSCHCLR10RL,BIC11,BANCO SANTANDER CHILE,  ,VINA DEL MAR,CHILE,Pacific/Easter
CL,BSCHCLRMGST,BIC11,BANCO SANTANDER CHILE,  ,SANTIAGO,CHILE,Pacific/Easter
CL,BSCHCLRMXXX,BIC11,BANCO SANTANDER CHILE,  ,SANTIAGO,CHILE,Pacific/Easter
UY,BSCHUYMMXXX,BIC11,BANCO SANTANDER,"JULIO HERRERA Y OBES 1365  MONTEVIDEO, MONTEVIDEO, 11100",MONTEVIDEO,URUGUAY,America/Montevideo
CL,BSCLCLRMXXX,BIC11,BANCO SECURITY,  ,SANTIAGO,CHILE,Pacific/Easter
